17,Maghai Gold Paan,So the Calcutta Gold Paan wasnt good enough for you?...Alright....Heres all the goodness of Paan combined with the expensive feel of Gold wrapped in the delightful Maghai Leaf,0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0
18,Calcutta Kaju Paan,"This is the Calcutta Paan which has been introduced to some of the country''s most favorite nuts. Enjoy the crunch of Pista, Badam, Cashew and many more in this Wonder!!",0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
19,Maghai Kaju Paan,"The Dry Roasted wonders of Cashew, Badam, Pista and Dates brought from far and exotic locations of the world, combined with the famous Maghai Leaf gives birth to this variety....",0.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
20,Calcutta Jelly Paan,"Ever wondered tasting the smoothness of jelly as well the crisp crunchiness of a Calcutta Paan? We did too...Introducing the Calcutta Jelly Paan, be ready for the otherworldy taste!!!",0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
21,Maghai Jelly Paan,"A Maghai Leaf, an ounce of bouncy jelly....mix them together and what do you get? No points for answering, you get our Maghai Jelly Paan!!!",0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
22,Calcutta Rose Paan,"The Essence of the beautiful Rose Flower, its oils extracted from its petals and leaves, giving out truly one of the most wonderful and delicious Paan you have ever tasted in its unique Calcutta Way",0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
23,Maghai Rose Paan,"The Maghai leaf, soaked in essential oils of the Rose petals, wrapped delicately containing all the necessary components of a Maghai Rose Paan is available to you now..",0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
24,Calcutta Shahi Paan,Ever wondered how Calcutta Royalty feels like?..Have a taste of being the King of Calcutta with our Calcutta Shahi Paan,0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0
25,Maghai Shahi Paan,"Who is even supreme to the King you ask?...The Emperor of course...Meet the Maghai Shahi Paan, made exclusively to rule over your hearts and tastebuds...",0.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0
26,Calcutta Golden Chocolate Paan,"Gold and Chocolate, the most liked things in the world and certainly among the costlier items come together in this wonderful Calcutta Style",0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
